num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,status_type_photo,status_type_status,status_type_video,Cluster
0.4284054731121704,-0.09263265752567354,-0.10722224452208695,0.2875875591252093,0.09923644846271623,0.07222495405359408,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,4
-0.31153434037765176,-0.30289598295411035,-0.36785019443150024,-0.277434838653495,-0.3842560415344717,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
-0.16120356032826835,-0.09263265752567354,-0.10722224452208695,-0.16923906035544525,0.06700361579623706,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,1
-0.387675904298768,-0.30289598295411035,-0.36785019443150024,-0.3555762340909754,-0.3842560415344717,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
-0.18853642942815624,-0.30289598295411035,-0.36785019443150024,-0.16923906035544525,-0.19085904553559652,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
-0.1807270382567597,-0.29714846608590706,-0.36785019443150024,-0.15521368168717953,-0.27681326597954103,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
0.37764443049809293,-0.09263265752567354,-0.10722224452208695,0.2595368017886779,0.09923644846271623,0.07222495405359408,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,4
-0.028443910414527162,-0.09263265752567354,-0.10722224452208695,-0.057036031009319574,0.09923644846271623,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,1
-0.2080599073566476,-0.30193806347607643,-0.36785019443150024,-0.181260813499673,-0.27681326597954103,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
-0.27248738452066906,-0.2942747076518054,-0.3613344956837649,-0.24337320474484972,-0.3197903762015133,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
-0.19439347280670363,-0.30098014399804257,-0.34830309818829425,-0.17324631140352117,-0.23383615575756878,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
-0.17096529929251403,-0.29906430504197484,-0.36785019443150024,-0.15120643063910363,-0.27681326597954103,0.07222495405359408,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
0.006698349856757269,-0.29906430504197484,-0.3548187969360296,0.033127117572388565,-0.2553247108685549,0.023649654543779697,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,2
-0.19634582059955277,-0.29906430504197484,-0.36785019443150024,-0.1772535624515971,-0.21234760064658265,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
0.07112582702077873,-0.29235886869573763,-0.36785019443150024,0.09323588329352732,-0.1693704904246104,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,2
0.043792957920890836,-0.2071040351507223,-0.17237923199944027,0.029119866524312643,0.09923644846271623,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,1
-0.34081955727038876,-0.09263265752567354,-0.10722224452208695,-0.3435544809467476,0.002537950463278668,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,1
-0.31153434037765176,-0.137175913254249,-0.10722224452208695,-0.3135000980861783,-0.040439159758693596,-0.07350094447584912,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,1
-0.17291764708536317,-0.14388134960048615,-0.1332850395130283,-0.19328256664390076,0.09923644846271623,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,0.0,0.0,1.0,1
-0.3076296447919535,-0.30098014399804257,-0.36785019443150024,-0.279438464177533,-0.3197903762015133,-0.17065154349547793,-0.20950807029183283,-0.18699662184058327,-0.19052247737642278,1.0,0.0,0.0,0
